url,father_url,deep,vnp
KNC5lkoE2Fs,QjFVr-eWyd0,1,by
IGk_bRJB5Mg,QjFVr-eWyd0,1,by
_gntsmIZvbI,KNC5lkoE2Fs,2,by
FEGRLYSWJTk,KNC5lkoE2Fs,2,by
tB3X4TjTIes,IGk_bRJB5Mg,2,by
_iYvlSMgUGE,IGk_bRJB5Mg,2,by
